date,NDVI
2000-02-29,0.22
2000-03-31,0.2295
2000-04-30,0.2575
2000-05-31,0.3155
2000-06-30,0.4585
2000-07-31,0.5395000000000001
2000-08-31,0.5974999999999999
2000-09-30,0.5985
2000-10-31,0.5075000000000001
2000-11-30,0.391
2000-12-31,0.3285
2001-01-31,0.28
2001-02-28,0.2365
2001-03-31,0.2285
2001-04-30,0.261
2001-05-31,0.3685
2001-06-30,0.46399999999999997
2001-07-31,0.548
2001-08-31,0.585
2001-09-30,0.5994999999999999
2001-10-31,0.517
2001-11-30,0.391
2001-12-31,0.327
2002-01-31,0.271
2002-02-28,0.244
2002-03-31,0.22999999999999998
2002-04-30,0.293
2002-05-31,0.3
2002-06-30,0.40900000000000003
2002-07-31,0.53
2002-08-31,0.6014999999999999
2002-09-30,0.5985
2002-10-31,0.564
2002-11-30,0.405
2002-12-31,0.3145
2003-01-31,0.278
2003-02-28,0.247
2003-03-31,0.2235
2003-04-30,0.261
2003-05-31,0.27749999999999997
2003-06-30,0.459
2003-07-31,0.6
2003-08-31,0.609
2003-09-30,0.6
2003-10-31,0.531
2003-11-30,0.4155
2003-12-31,0.3285
2004-01-31,0.281
2004-02-29,0.234
2004-03-31,0.21350000000000002
2004-04-30,0.249
2004-05-31,0.32999999999999996
2004-06-30,0.46299999999999997
2004-07-31,0.536
2004-08-31,0.595
2004-09-30,0.567
2004-10-31,0.43100000000000005
2004-11-30,0.334
2004-12-31,0.2915
2005-01-31,0.2445
2005-02-28,0.227
2005-03-31,0.211
2005-04-30,0.2405
2005-05-31,0.33299999999999996
2005-06-30,0.4485
2005-07-31,0.5685
2005-08-31,0.598
2005-09-30,0.5954999999999999
2005-10-31,0.513
2005-11-30,0.392
2005-12-31,0.3125
2006-01-31,0.28049999999999997
2006-02-28,0.245
2006-03-31,0.229
2006-04-30,0.2385
2006-05-31,0.31799999999999995
2006-06-30,0.43700000000000006
2006-07-31,0.5660000000000001
2006-08-31,0.59
2006-09-30,0.6054999999999999
2006-10-31,0.515
2006-11-30,0.41200000000000003
2006-12-31,0.3275
2007-01-31,0.257
2007-02-28,0.2395
2007-03-31,0.222
2007-04-30,0.27149999999999996
2007-05-31,0.334
2007-06-30,0.4265
2007-07-31,0.5
2007-08-31,0.595
2007-09-30,0.5625
2007-10-31,0.476
2007-11-30,0.3745
2007-12-31,0.306
2008-01-31,0.263
2008-02-29,0.23399999999999999
2008-03-31,0.2245
2008-04-30,0.252
2008-05-31,0.32099999999999995
2008-06-30,0.4085
2008-07-31,0.525
2008-08-31,0.5745
2008-09-30,0.5545
2008-10-31,0.456
2008-11-30,0.347
2008-12-31,0.303
2009-01-31,0.266
2009-02-28,0.2355
2009-03-31,0.221
2009-04-30,0.256
2009-05-31,0.33499999999999996
2009-06-30,0.38949999999999996
2009-07-31,0.5035000000000001
2009-08-31,0.586
2009-09-30,0.5675
2009-10-31,0.525
2009-11-30,0.40800000000000003
2009-12-31,0.3195
2010-01-31,0.272
2010-02-28,0.241
2010-03-31,0.222
2010-04-30,0.243
2010-05-31,0.31799999999999995
2010-06-30,0.423
2010-07-31,0.5065000000000001
2010-08-31,0.584
2010-09-30,0.594
2010-10-31,0.526
2010-11-30,0.42300000000000004
2010-12-31,0.3205
2011-01-31,0.269
2011-02-28,0.242
2011-03-31,0.231
2011-04-30,0.257
2011-05-31,0.3295
2011-06-30,0.4065
2011-07-31,0.5215000000000001
2011-08-31,0.583
2011-09-30,0.5874999999999999
2011-10-31,0.479
2011-11-30,0.384
2011-12-31,0.2975
